Users_Email,Users_Password,Student_Code,Student_FirstName,Student_LastName,Student_Birthdate,Student_Religion,Student_MedicalProblem,Faculty_Name,Department_Name,Teacher_Code,Student_AcademicYear
siriratn.phi@rmutto.ac.th,Cs12345678,478614568588-7,ศิริรัตน์,พิพัฒน์,16/7/2545,คริสต์,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,269056064751-7,2565
suthida.sir@rmutto.ac.th,Cs12345678,924770217025-9,สุธิดา,ศิริพงษ์,1/7/2545,อิสลาม,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,650841777744-9,2567
thnwan.oin@rmutto.ac.th,Cs12345678,413333527369-4,ธนวัฒน์,อินทร์แก้ว,15/3/2547,คริสต์,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,625177706970-0,2565
siththichay.kit@rmutto.ac.th,Cs12345678,370937213871-2,สิทธิชัย,กิตติพงษ์,1/9/2545,พุทธ,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,650841777744-9,2566
oisra.sup@rmutto.ac.th,Cs12345678,307845638686-7,อิศรา,ศุภชัย,4/4/2546,ไม่ระบุ,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,650841777744-9,2567
phimphaij.phn@rmutto.ac.th,Cs12345678,749750453459-6,พิมพ์ใจ,พงศกร,8/6/2547,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,671757924287-0,2567
ointhira.sra@rmutto.ac.th,Cs12345678,853772446028-2,อินทิรา,ศราวุธ,21/1/2547,อิสลาม,ปัญหาการได้ยิน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,625177706970-0,2566
nphdl.sir@rmutto.ac.th,Cs12345678,379477344001-7,นพดล,ศิริพงษ์,8/10/2548,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,317336807383-5,2566
jindami.wre@rmutto.ac.th,Cs12345678,784148686886-4,จินดามณี,วรเกียรติ,25/12/2543,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,317336807383-5,2567
oakhrphl.rng@rmutto.ac.th,Cs12345678,741591564402-2,อัครพล,ณรงค์ศักดิ์,4/8/2544,พุทธ,ภูมิแพ้,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,269056064751-7,2565
ophichy.sak@rmutto.ac.th,Cs12345678,117025645630-2,อภิชญ์,ศักดิ์สิทธิ์,15/1/2544,คริสต์,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,317336807383-5,2566
oakhrphl.phi@rmutto.ac.th,Cs12345678,900408547183-0,อัครพล,พีรพัฒน์,13/1/2545,อิสลาม,ปัญหาการได้ยิน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,269056064751-7,2566
piynuch.wrp@rmutto.ac.th,Cs12345678,302155355315-8,ปิยนุช,วรพล,11/12/2548,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,650841777744-9,2567
phrri.sit@rmutto.ac.th,Cs12345678,949196414640-6,พรรณี,สิทธิพงษ์,14/7/2544,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,317336807383-5,2567
jintna.phn@rmutto.ac.th,Cs12345678,236085215653-3,จินตนา,พงษ์ศักดิ์,6/2/2545,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,317336807383-5,2566
ssithr.oph@rmutto.ac.th,Cs12345678,577467902182-5,ศศิธร,อภิพงษ์,23/8/2548,ไม่ระบุ,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,671757924287-0,2566
ophichay.sak@rmutto.ac.th,Cs12345678,209904370080-4,อภิชัย,ศักดิ์สิทธิ์,23/1/2543,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,671757924287-0,2565
nphdl.ksd@rmutto.ac.th,Cs12345678,907665956084-6,นพดล,กฤษดา,25/9/2549,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,650841777744-9,2565
jindaratn.onu@rmutto.ac.th,Cs12345678,803059130655-8,จินดารัตน์,อนุวัฒน์,5/8/2549,คริสต์,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,269056064751-7,2565
oayya.thn@rmutto.ac.th,Cs12345678,769237754628-0,อัญญา,ธนากร,26/12/2545,พุทธ,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,671757924287-0,2566
nitiphngs.kit@rmutto.ac.th,Cs12345678,379877869841-6,นิติพงษ์,กิตติศักดิ์,5/11/2544,คริสต์,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,650841777744-9,2565
phkhphl.wre@rmutto.ac.th,Cs12345678,122329722591-8,ภคพล,วรเกียรติ,3/2/2548,ไม่ระบุ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,317336807383-5,2565
puika.sun@rmutto.ac.th,Cs12345678,943337851058-0,ปุณิกา,สุนทร,28/4/2547,พุทธ,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,269056064751-7,2566
jiraphr.sit@rmutto.ac.th,Cs12345678,823299950700-9,จิราภร,สิทธิพงษ์,4/4/2547,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,317336807383-5,2566
onucha.thn@rmutto.ac.th,Cs12345678,448326717988-1,อนุชา,ธนาธิป,15/9/2543,อิสลาม,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2565
sunantha.cha@rmutto.ac.th,Cs12345678,452768586708-5,สุนันทา,ชำนาญ,2/4/2549,ไม่ระบุ,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2567
chamnay.ks@rmutto.ac.th,Cs12345678,307681314367-5,ชำนาญ,กฤษณ์,4/4/2545,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,122925509510-7,2565
phirphathr.pha@rmutto.ac.th,Cs12345678,393727883733-1,พีรภัทร์,ภานุพงษ์,10/5/2547,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2566
ointhira.oit@rmutto.ac.th,Cs12345678,964267672859-0,อินทิรา,อิทธิพล,1/9/2545,ไม่ระบุ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2565
jindaphimph.sup@rmutto.ac.th,Cs12345678,112562191118-8,จินดาพิมพ์,ศุภชัย,2/2/2543,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2566
jaruratn.pri@rmutto.ac.th,Cs12345678,805604389015-5,จารุรัตน์,ปริญญา,15/10/2548,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2566
ophichnanth.thi@rmutto.ac.th,Cs12345678,443107689707-6,อภิชนันท์,ธีรพงศ์,2/6/2544,พุทธ,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2565
pmphngs.san@rmutto.ac.th,Cs12345678,640754434222-7,ปฐมพงศ์,สันติวงศ์,28/2/2548,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2567
wilawaly.sir@rmutto.ac.th,Cs12345678,299660455790-5,วิลาวัลย์,ศิริชัย,7/3/2544,ไม่ระบุ,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2567
siriratn.chw@rmutto.ac.th,Cs12345678,168372572121-4,ศิริรัตน์,ชวลิต,14/12/2546,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2565
oaychli.wrw@rmutto.ac.th,Cs12345678,227699756621-1,อัญชลี,วรวิชญ์,8/7/2547,อิสลาม,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2566
ophichya.wrw@rmutto.ac.th,Cs12345678,704540414529-1,อภิชญา,วรวิชญ์,28/4/2547,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2565
nthi.dim@rmutto.ac.th,Cs12345678,867506634482-9,นที,ดีมาก,20/5/2544,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2567
rssukhnth.jit@rmutto.ac.th,Cs12345678,334138151190-4,รสสุคนธ์,จิตตะวี,7/5/2549,คริสต์,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2566
ichapha.khj@rmutto.ac.th,Cs12345678,152480177062-9,ณิชาภา,ขจรศักดิ์,7/7/2545,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,122925509510-7,2565
jindaratnphr.oak@rmutto.ac.th,Cs12345678,337396558311-2,จินดารัตน์พร,อัครพล,16/8/2548,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2567
bwr.thn@rmutto.ac.th,Cs12345678,833704133362-8,บวร,ธนกฤต,12/10/2548,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,122925509510-7,2566
puwich.rng@rmutto.ac.th,Cs12345678,913440351139-8,ปุณณวิช,ณรงค์ศักดิ์,12/1/2548,อิสลาม,ปัญหาการได้ยิน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2566
oronngkh.thn@rmutto.ac.th,Cs12345678,921306280918-6,อรอนงค์,ธนาธิป,3/8/2544,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2565
phathrsuda.thw@rmutto.ac.th,Cs12345678,964799398778-8,ภัทรสุดา,ทวีป,20/9/2544,ไม่ระบุ,ปัญหาการได้ยิน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2565
kmlchnk.ois@rmutto.ac.th,Cs12345678,867076416714-1,กมลชนก,อิศรา,5/6/2544,คริสต์,ภูมิแพ้,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2566
darin.aph@rmutto.ac.th,Cs12345678,748046695061-5,ดาริน,ณัฐพงษ์,20/8/2549,ไม่ระบุ,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,122925509510-7,2566
phakhphumi.thn@rmutto.ac.th,Cs12345678,458346439851-4,ภาคภูมิ,ธนากร,14/2/2547,อิสลาม,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2567
nrinthr.sit@rmutto.ac.th,Cs12345678,443263979714-3,นรินทร์,สิทธิชัย,5/8/2546,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2565
ners.buy@rmutto.ac.th,Cs12345678,591373783820-8,นเรศ,บุญมี,28/10/2547,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2567
phngskr.wrw@rmutto.ac.th,Cs12345678,738137979860-0,พงศกร,วรวิทย์,12/4/2544,ไม่ระบุ,ปัญหาการได้ยิน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2566
ophichnanth.san@rmutto.ac.th,Cs12345678,557974926840-8,อภิชนันท์,สันติวงศ์,12/5/2545,ไม่ระบุ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2566
phanuwichy.kit@rmutto.ac.th,Cs12345678,779695452318-0,ภานุวิชญ์,กิตติศักดิ์,1/7/2548,ไม่ระบุ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2565
kwin.khu@rmutto.ac.th,Cs12345678,698520626162-3,กวิน,คุ้มวงศ์,26/9/2547,พุทธ,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2567
thrngphl.mon@rmutto.ac.th,Cs12345678,603650699665-1,ทรงพล,มโนชัย,8/8/2547,คริสต์,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2566
jindaratn.pit@rmutto.ac.th,Cs12345678,643943198238-3,จินดารัตน์,ปณิธาน,21/1/2543,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2567
piyachay.wrp@rmutto.ac.th,Cs12345678,352922983274-6,ปิยะชัย,วรพงษ์,7/11/2545,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2567
suriyphr.pha@rmutto.ac.th,Cs12345678,220999915594-2,สุรีย์พร,ภัทรเดช,27/1/2548,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2567
suwiml.jir@rmutto.ac.th,Cs12345678,695505225282-5,สุวิมล,จิรภพ,1/7/2545,อิสลาม,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2566
thnwan.wrw@rmutto.ac.th,Cs12345678,259788343047-9,ธนวัฒน์,วรวิชญ์,1/12/2543,ไม่ระบุ,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2567
jindaratn.wrp@rmutto.ac.th,Cs12345678,152052943801-0,จินดารัตน์,วรพงษ์,22/6/2543,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2567
thnphl.sth@rmutto.ac.th,Cs12345678,565765964173-9,ธนพล,สถิตย์,26/12/2547,อิสลาม,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2566
bwr.pha@rmutto.ac.th,Cs12345678,756731707794-6,บวร,ภัทรเดช,11/8/2545,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,219011389114-7,2565
srawui.phn@rmutto.ac.th,Cs12345678,956627909832-5,ศราวุฒิ,พงษ์ศักดิ์,20/2/2545,พุทธ,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,987936442370-3,2565
oayya.nph@rmutto.ac.th,Cs12345678,850186177958-7,อัญญา,นฤพนธ์,21/8/2546,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,897137882092-2,2567
